seed,generation,best_fitness,mean_fitness
0,201,-131.9988,-133.1781
0,202,-131.9988,-132.9383
0,203,-131.9988,-132.7713
0,204,-131.9988,-133.2479
0,205,-131.9829,-133.2947
0,206,-131.9829,-132.7701
0,207,-131.9829,-133.3689
0,208,-131.9829,-133.0022
0,209,-131.9829,-133.1706
0,210,-131.9829,-133.2749
0,211,-131.9829,-133.1303
0,212,-131.9829,-133.3641
0,213,-131.9829,-132.8660
0,214,-131.9829,-132.9859
0,215,-131.9829,-133.0728
0,216,-131.9829,-132.7420
0,217,-131.9829,-132.8044
0,218,-131.9829,-133.1060
0,219,-131.9829,-133.0697
1,0,-133.4744,-140.6716
1,1,-132.6303,-134.6167
1,2,-132.4223,-133.8612
1,3,-132.4223,-133.8599
1,4,-132.4223,-134.1680
1,5,-132.4223,-133.6930
1,6,-132.2879,-133.2794
1,7,-132.2879,-133.0402
1,8,-132.2879,-133.2780
1,9,-132.2879,-133.7466
1,10,-132.2737,-133.3989
1,11,-132.1927,-133.6823
1,12,-132.1927,-133.5468
1,13,-132.1927,-133.4460
1,14,-132.1927,-133.4235
1,15,-132.1927,-133.4785
1,16,-132.1492,-133.0385
1,17,-132.1492,-133.4181
1,18,-132.1492,-133.1744
1,19,-132.1492,-133.3024
1,20,-132.1492,-133.2859
1,21,-132.1492,-133.3817
1,22,-132.1492,-132.7119
1,23,-132.1492,-132.9347
1,24,-132.1492,-133.4422
1,25,-132.1492,-133.1843
1,26,-132.1492,-133.4769
1,27,-132.1492,-133.1736
1,28,-132.1407,-132.8192
1,29,-132.1407,-133.3288
1,30,-132.1407,-133.4920
1,31,-132.1407,-133.5334
1,32,-132.1407,-133.3250
1,33,-132.1367,-133.2979
1,34,-132.1367,-132.8982
1,35,-132.1367,-132.9621
1,36,-132.1367,-133.1290
1,37,-132.1252,-133.1943
1,38,-132.1252,-133.4761
1,39,-132.1252,-133.2114
1,40,-132.1252,-133.2950
1,41,-132.0431,-132.9809
1,42,-132.0431,-133.0084
1,43,-132.0431,-132.9392
1,44,-132.0431,-133.1024
1,45,-132.0431,-132.9749
1,46,-132.0431,-133.1990
1,47,-132.0431,-132.9065
1,48,-132.0431,-133.2944
1,49,-132.0431,-133.3731
1,50,-132.0431,-133.3089
1,51,-132.0431,-132.9685
1,52,-132.0431,-133.3926
1,53,-132.0431,-132.9715
1,54,-132.0431,-133.1186
1,55,-132.0431,-133.1463
1,56,-132.0431,-133.0908
1,57,-132.0271,-132.9636
1,58,-132.0271,-133.2778
1,59,-132.0271,-132.8883
1,60,-132.0271,-133.1263
1,61,-132.0271,-133.0352
1,62,-132.0271,-132.9410
1,63,-132.0271,-133.2017
1,64,-132.0271,-133.3492
1,65,-132.0271,-133.1283
1,66,-132.0271,-133.0141
1,67,-132.0271,-133.0978
1,68,-132.0271,-132.6811
1,69,-132.0259,-133.6362
1,70,-132.0259,-133.1942
1,71,-132.0259,-133.4434
1,72,-132.0259,-133.0227
1,73,-132.0259,-133.3439
1,74,-132.0259,-132.7074
1,75,-132.0259,-132.9609
1,76,-132.0259,-133.0420
1,77,-132.0259,-133.1274
1,78,-132.0259,-133.2076
1,79,-132.0259,-133.0935
1,80,-132.0259,-132.6934
1,81,-132.0259,-133.3248
1,82,-132.0259,-133.0291
1,83,-132.0259,-133.2558
1,84,-132.0259,-133.1134
1,85,-132.0259,-133.0176
1,86,-132.0259,-133.1855
1,87,-132.0259,-132.9224
1,88,-132.0259,-133.1187
1,89,-132.0259,-133.4533
1,90,-132.0259,-133.1921
1,91,-132.0259,-133.2578
1,92,-132.0259,-133.0407
1,93,-131.9904,-132.7853
1,94,-131.9904,-132.7580
1,95,-131.9904,-132.7197
1,96,-131.9356,-132.8750
1,97,-131.9356,-132.8988
1,98,-131.9356,-132.4176
1,99,-131.9356,-133.4144
1,100,-131.9356,-133.1737
1,101,-131.9356,-132.9797
1,102,-131.9356,-132.9937
1,103,-131.9356,-132.9465
1,104,-131.9356,-132.9648
1,105,-131.9356,-132.8484
1,106,-131.9356,-133.3537
1,107,-131.9356,-133.2293
1,108,-131.9356,-133.1148
1,109,-131.9356,-133.4802
1,110,-131.9356,-133.2675
1,111,-131.9356,-133.4930
1,112,-131.9356,-133.0134
1,113,-131.9356,-133.2578
1,114,-131.9356,-132.8989
1,115,-131.9356,-133.2126
1,116,-131.9356,-132.7379
1,117,-131.9356,-133.1056
1,118,-131.9356,-132.7682
1,119,-131.9356,-132.8420
1,120,-131.9356,-133.0904
1,121,-131.9356,-132.6509
1,122,-131.9356,-133.0798
1,123,-131.9356,-132.9297
1,124,-131.9356,-132.7982
1,125,-131.9356,-132.7988
1,126,-131.9356,-133.1778
1,127,-131.9356,-133.0895
1,128,-131.9356,-132.8584
1,129,-131.9356,-132.9027
1,130,-131.9356,-133.0498
1,131,-131.9356,-133.2453
1,132,-131.9356,-132.9849
1,133,-131.9356,-133.4812
1,134,-131.9356,-132.8724
1,135,-131.9356,-133.1974
1,136,-131.9356,-132.9304
1,137,-131.9356,-133.1439
1,138,-131.9356,-133.0523
1,139,-131.9356,-133.1702
1,140,-131.9356,-133.2629
1,141,-131.9356,-133.1284
1,142,-131.9356,-133.0757
1,143,-131.9356,-133.1232
1,144,-131.9356,-132.6873
1,145,-131.9356,-133.0045
1,146,-131.9356,-133.6003
1,147,-131.9356,-132.9772
1,148,-131.9356,-132.9399
1,149,-131.9356,-133.1103
1,150,-131.9356,-133.2341
1,151,-131.9356,-133.1964
1,152,-131.9356,-133.1450
1,153,-131.9356,-133.0568
1,154,-131.9356,-133.1949
1,155,-131.9356,-133.0183
1,156,-131.9356,-133.0303
1,157,-131.9356,-133.2294
1,158,-131.9356,-133.4163
1,159,-131.9356,-133.4567
1,160,-131.9356,-133.1019
1,161,-131.9356,-133.0237
1,162,-131.9356,-132.9639
1,163,-131.9356,-133.4463
1,164,-131.9356,-133.1646
1,165,-131.9356,-133.1953
1,166,-131.9356,-133.0336
1,167,-131.9356,-133.2702
1,168,-131.9356,-133.6974
1,169,-131.9356,-133.0489
1,170,-131.9356,-132.9419
1,171,-131.9356,-133.0056
1,172,-131.9356,-132.9795
1,173,-131.9356,-132.9238
1,174,-131.9356,-133.2809
1,175,-131.9356,-132.8556
1,176,-131.9356,-133.2446
1,177,-131.9356,-133.0541
1,178,-131.9356,-133.1586
1,179,-131.9356,-133.4031
1,180,-131.9356,-132.9509
1,181,-131.9356,-132.8504
1,182,-131.9356,-132.9671
1,183,-131.9356,-133.3103
1,184,-131.9356,-133.4522
1,185,-131.9356,-133.0549
1,186,-131.9164,-132.9526
1,187,-131.9164,-133.1425
1,188,-131.9164,-133.0632
1,189,-131.9164,-133.2050
1,190,-131.9164,-133.0470
1,191,-131.9164,-133.0543
1,192,-131.9164,-133.1628
1,193,-131.9164,-133.1638
1,194,-131.9164,-132.9670
1,195,-131.9164,-133.0720
1,196,-131.9164,-133.2320
1,197,-131.9164,-133.6258
1,198,-131.9164,-132.9344
1,199,-131.9164,-132.8755
1,200,-131.9164,-132.9962
1,201,-131.9164,-132.8275
1,202,-131.9164,-132.8231
1,203,-131.9164,-132.9585
1,204,-131.9164,-133.2529
1,205,-131.9092,-133.3069
1,206,-131.9092,-133.4492
1,207,-131.9092,-133.3460
1,208,-131.9092,-133.4640
1,209,-131.9092,-133.1463
1,210,-131.9092,-133.2635
1,211,-131.9092,-132.9683
1,212,-131.9092,-132.9407
1,213,-131.9092,-133.0076
1,214,-131.9092,-133.3192
1,215,-131.9092,-132.9288
1,216,-131.9092,-132.8252
1,217,-131.9092,-133.3579
1,218,-131.9092,-133.2204
1,219,-131.9092,-133.2166
2,0,-133.3760,-141.2948
2,1,-132.5049,-134.1959
2,2,-132.5049,-134.0577
2,3,-132.5049,-133.6529
2,4,-132.4079,-133.5053
2,5,-132.3869,-133.6096
2,6,-132.3179,-133.1185
2,7,-132.3179,-133.4522
2,8,-132.2683,-133.5294
2,9,-132.2683,-133.4412
2,10,-132.2683,-133.0489
2,11,-132.2683,-133.4276
2,12,-132.2683,-133.5929
2,13,-132.1803,-133.6235
2,14,-132.1803,-133.3632
2,15,-132.1803,-133.4845
2,16,-132.1803,-133.5044
2,17,-132.1803,-133.2520
2,18,-132.1803,-133.3733
2,19,-132.1803,-133.3227
2,20,-132.1803,-133.4388
2,21,-132.1803,-133.4820
2,22,-132.1803,-133.2185
2,23,-132.1250,-132.8359
2,24,-132.1250,-133.2271
2,25,-132.1250,-133.3963
2,26,-132.1250,-133.0539
2,27,-132.1250,-133.0538
2,28,-132.1250,-133.0595
2,29,-132.1250,-133.4785
2,30,-132.1250,-133.2878
2,31,-132.1250,-133.2126
2,32,-132.1250,-133.3111
2,33,-132.1100,-133.4571
2,34,-132.1100,-133.1340
2,35,-132.1093,-133.4879
2,36,-132.1093,-133.2428
2,37,-132.1093,-133.4983
2,38,-132.1093,-133.2123
2,39,-132.1093,-133.1766
2,40,-132.1053,-132.7800
2,41,-132.1053,-133.2993
2,42,-132.1053,-133.0858
2,43,-132.1053,-133.2303
2,44,-132.1053,-133.4350
2,45,-132.1053,-133.6028
2,46,-132.1053,-133.0999
2,47,-132.0549,-132.9909
2,48,-132.0549,-133.1630
2,49,-132.0549,-133.1181
2,50,-132.0225,-132.9589
2,51,-132.0225,-133.1095
2,52,-132.0225,-133.1632
2,53,-132.0225,-133.1764
2,54,-132.0185,-132.9184
2,55,-132.0185,-133.3263
2,56,-132.0185,-133.2237
2,57,-132.0185,-133.3431
2,58,-132.0185,-132.7857
2,59,-131.9938,-132.9568
2,60,-131.9938,-132.6903
2,61,-131.9938,-132.9115
2,62,-131.9938,-132.9099
2,63,-131.9938,-133.1839
2,64,-131.9938,-133.0077
2,65,-131.9938,-133.3794
2,66,-131.9938,-133.3721
2,67,-131.9938,-132.7464
2,68,-131.9938,-133.3241
2,69,-131.9938,-133.2838
2,70,-131.9938,-133.2728
2,71,-131.9938,-132.6963
2,72,-131.9938,-132.7442
2,73,-131.9938,-133.3050
2,74,-131.9938,-132.8444
2,75,-131.9938,-133.0359
2,76,-131.9938,-132.9868
2,77,-131.9938,-132.7328
2,78,-131.9938,-132.9642
2,79,-131.9938,-133.0130
2,80,-131.9938,-132.7693
2,81,-131.9938,-133.0210
2,82,-131.9938,-133.1116
2,83,-131.9938,-133.6367
2,84,-131.9938,-133.2943
2,85,-131.9938,-133.0631
2,86,-131.9938,-133.1332
2,87,-131.9938,-133.0118
2,88,-131.9938,-132.9672
2,89,-131.9938,-132.9036
2,90,-131.9938,-133.1820
2,91,-131.9440,-133.1321
2,92,-131.9440,-132.6971
2,93,-131.9440,-132.9045
2,94,-131.9440,-132.8444
2,95,-131.8966,-132.5635
2,96,-131.8966,-132.9422
2,97,-131.8966,-132.9518
2,98,-131.8966,-132.8391
2,99,-131.8966,-132.9883
2,100,-131.8966,-133.0169
2,101,-131.8966,-132.8668
2,102,-131.8966,-133.1298
2,103,-131.8966,-132.6190
2,104,-131.8966,-133.3959
2,105,-131.8966,-132.7894
2,106,-131.8966,-133.1137
2,107,-131.8966,-132.9136
2,108,-131.8966,-132.7707
2,109,-131.8966,-133.2816
2,110,-131.8966,-132.9161
2,111,-131.8966,-132.6911
2,112,-131.8966,-133.2344
2,113,-131.8966,-133.3008
2,114,-131.8966,-133.0431
2,115,-131.8966,-133.1907
2,116,-131.8966,-132.8067
2,117,-131.8966,-133.1563
2,118,-131.8966,-132.7738
2,119,-131.8966,-133.1279
2,120,-131.8966,-133.2250
2,121,-131.8966,-133.2707
2,122,-131.8966,-132.7472
2,123,-131.8966,-132.8533
2,124,-131.8966,-133.0797
2,125,-131.8966,-133.0642
2,126,-131.8966,-132.8937
2,127,-131.8966,-132.9498
2,128,-131.8966,-133.0782
2,129,-131.8641,-132.8235
2,130,-131.8641,-133.3836
2,131,-131.8641,-132.8465
2,132,-131.8641,-133.1873
2,133,-131.8641,-133.1552
2,134,-131.8641,-132.7587
2,135,-131.8641,-133.1690
2,136,-131.8641,-132.8289
2,137,-131.8641,-132.7259
2,138,-131.8641,-133.3589
2,139,-131.8641,-133.1128
2,140,-131.8641,-133.2046
2,141,-131.8641,-132.7033
2,142,-131.8641,-132.8248
2,143,-131.8641,-133.0152
2,144,-131.8641,-132.9138
2,145,-131.8641,-132.7969
2,146,-131.8641,-133.0759
2,147,-131.8641,-133.4108
2,148,-131.8641,-132.9034
2,149,-131.8553,-132.8741
2,150,-131.8553,-133.0583
2,151,-131.8553,-132.6211
2,152,-131.8553,-132.6493
2,153,-131.8553,-132.7892
2,154,-131.8553,-132.6962
2,155,-131.8553,-133.0919
2,156,-131.8553,-132.9556
2,157,-131.8553,-132.8324
2,158,-131.8553,-132.7056
